rank,name,team,position,value
155,Kayshon Boutte,NEP,WR,2970
156,Ty Simpson,FA,QB,2947
157,Mason Taylor,NYJ,TE,2931
158,AJ Barner,SEA,TE,2913
159,Jacory Croskey-Merritt,WAS,RB,2906
160,Terrance Ferguson,LAR,TE,2900
161,Rashid Shaheed,SEA,WR,2896
162,Nicholas Singleton,FA,RB,2895
163,Mike Evans,TBB,WR,2887
164,Jauan Jennings,SFO,WR,2871
165,Shedeur Sanders,CLE,QB,2869
166,Mac Jones,SFO,QB,2866
167,Braelon Allen,NYJ,RB,2845
168,Chimere Dike,TEN,WR,2844
169,Isaac TeSlaa,DET,WR,2842
170,Tyjae Spears,TEN,RB,2840
171,Elic Ayomanor,TEN,WR,2833
172,Tre Harris,LAC,WR,2830
173,Jalen McMillan,TBB,WR,2826
174,David Montgomery,DET,RB,2824
175,2026 Late 2nd,FA,PICK,2798
176,Theo Johnson,NYG,TE,2795
177,2028 Mid 2nd,FA,PICK,2791
178,Kyle Williams,NEP,WR,2782
179,Tory Horton,SEA,WR,2780
180,Chris Godwin,TBB,WR,2778
181,Kenneth Gainwell,PIT,RB,2778
182,Jaylin Noel,HOU,WR,2776
183,Adonai Mitchell,NYJ,WR,2765
184,Tyrone Tracy,NYG,RB,2764
185,J.K. Dobbins,DEN,RB,2749
186,Kaleb Johnson,PIT,RB,2721
187,Dylan Sampson,CLE,RB,2711
188,Jonathon Brooks,CAR,RB,2710
189,Brandon Aiyuk,SFO,WR,2691
190,Elijah Sarratt,FA,WR,2675
191,Stefon Diggs,NEP,WR,2664
192,Tony Pollard,TEN,RB,2664
193,Tua Tagovailoa,MIA,QB,2664
194,Jerry Jeudy,CLE,WR,2651
195,T.J. Hockenson,MIN,TE,2643
196,2028 Late 2nd,FA,PICK,2642
197,David Njoku,CLE,TE,2630
198,Devin Neal,NOS,RB,2628
199,Dallas Goedert,PHI,TE,2609
200,Ollie Gordon,MIA,RB,2608
201,Rachaad White,TBB,RB,2607
202,Kimani Vidal,LAC,RB,2607
203,Elijah Arroyo,SEA,TE,2579
204,Deebo Samuel,WAS,WR,2578
205,Sean Tucker,TBB,RB,2551
206,Mark Andrews,BAL,TE,2541
207,Jack Bech,LVR,WR,2531
208,Malachi Fields,FA,WR,2525
209,Tank Bigsby,PHI,RB,2522
211,Zachariah Branch,FA,WR,2506
210,Tre Tucker,LVR,WR,2506
212,Keon Coleman,BUF,WR,2497
213,Jacoby Brissett,ARI,QB,2491
214,Marvin Mims,DEN,WR,2486
215,Emmett Johnson,FA,RB,2474
216,Anthony Richardson,IND,QB,2464
217,Jordan Mason,MIN,RB,2446
218,Trinidad Chambliss,FA,QB,2445
219,2027 Early 3rd,FA,PICK,2436
220,Tank Dell,HOU,WR,2415
221,Jalen Milroe,SEA,QB,2405
222,Hunter Henry,NEP,TE,2402
223,Juwan Johnson,NOS,TE,2399
224,Chris Brazzell II,FA,WR,2384
225,Gunnar Helm,TEN,TE,2377
226,Jaylen Wright,MIA,RB,2372
227,Dalton Schultz,HOU,TE,2359
228,Brian Robinson,SFO,RB,2357
229,Alvin Kamara,NOS,RB,2338
230,2026 Early 3rd,FA,PICK,2338
231,Cade Otton,TBB,TE,2337
232,Tez Johnson,TBB,WR,2337
233,Keaton Mitchell,BAL,RB,2327
234,Michael Mayer,LVR,TE,2320
235,Brashard Smith,KCC,RB,2304
236,Tyreek Hill,FA,WR,2297
237,2027 Mid 3rd,FA,PICK,2293
238,Isaiah Bond,CLE,WR,2289
239,Kendre Miller,NOS,RB,2287
240,Jake Tonges,SFO,TE,2247
241,Dontayvion Wicks,GBP,WR,2246
242,Quinn Ewers,MIA,QB,2244
243,Chris Bell,FA,WR,2226
244,Demario Douglas,NEP,WR,2217
245,Aaron Jones,MIN,RB,2203
246,Eli Stowers,FA,TE,2203
247,Xavier Legette,CAR,WR,2199
248,2027 Late 3rd,FA,PICK,2187
249,Malik Washington,MIA,WR,2182
250,2026 Mid 3rd,FA,PICK,2175
251,Chigoziem Okonkwo,TEN,TE,2168
252,Jaydon Blue,DAL,RB,2168
253,Isiah Pacheco,KCC,RB,2157
254,Ben Sinnott,WAS,TE,2139
256,Kaytron Allen,FA,RB,2138
255,Dont'e Thornton,LVR,WR,2138
257,Isaiah Davis,NYJ,RB,2134
258,Colby Parkinson,LAR,TE,2133
259,2028 Early 3rd,FA,PICK,2133
260,Cedric Tillman,CLE,WR,2117
261,Cole Kmet,CHI,TE,2111
262,2026 Late 3rd,FA,PICK,2111
263,Emanuel Wilson,GBP,RB,2106
264,Chris Rodriguez,WAS,RB,2087
265,Ja'Tavion Sanders,CAR,TE,2070
266,Justin Fields,NYJ,QB,2067
267,Trevor Etienne,CAR,RB,2058
268,James Conner,ARI,RB,2052
269,Pat Freiermuth,PIT,TE,2048
270,DJ Giddens,IND,RB,2033
271,2028 Mid 3rd,FA,PICK,2027
272,Darnell Mooney,ATL,WR,2008
273,Rashod Bateman,BAL,WR,2005
274,Mike Washington Jr.,FA,RB,1989
275,Christian Kirk,HOU,WR,1979
276,Germie Bernard,FA,WR,1978
277,Ray Davis,BUF,RB,1976
278,Antonio Williams,FA,WR,1961
279,Ja'Kobi Lane,FA,WR,1959
280,Garrett Nussmeier,FA,QB,1958
281,Skyler Bell,FA,WR,1947
282,Travis Kelce,KCC,TE,1939
283,Max Klare,FA,TE,1932
284,Michael Trigg,FA,TE,1926
285,Will Howard,PIT,QB,1923
286,Jaylin Lane,WAS,WR,1918
